hhid,psu,prov_code,urban_rural,dist_code,hhweight,hh_size,n_female,n_child,head_age,tenure,owner_sex,rooms,cook_fuel,light_fuel,water_source,water_dist_band,water_time_band,toilet_type,water_improved,toilet_flush,hh_inc_remit_dom,discordant_inc_remit_dom,hh_inc_remit_for,discordant_inc_remit_for,hh_inc_rent,discordant_inc_rent,hh_inc_other,discordant_inc_other,fies_worried,fies_healthy,fies_fewfoods,fies_skipped,fies_ateless,fies_ranout,fies_hungry,fies_wholeday,n_fies_answered,fies_raw,qty701,owns701,n_tv,has_tv,qty703,owns703,n_fridge,has_fridge,qty705,owns705,n_washer,has_washer,qty707,owns707,n_ac,has_ac,qty709,owns709,n_fan,has_fan,qty711,owns711,qty712,owns712,qty713,owns713,qty714,owns714,qty715,owns715,qty716,owns716,qty717,owns717,qty718,owns718,qty719,owns719,qty720,owns720,qty721,owns721,qty722,owns722,qty723,owns723,n_solar,has_solar,qty725,owns725,qty726,owns726,qty727,owns727,n_motorcycle,has_motorcycle,qty729,owns729,n_car,has_car,qty731,owns731,qty732,owns732,qty733,owns733,qty734,owns734,qty735,owns735
101100725,1011007,1,1,101,444.29001,4,1,3,31,1,1,2,1,1,14,1,1,5,0,1,0,0,540000,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101100727,1011007,1,1,101,444.29001,6,1,4,39,1,1,2,1,1,14,1,1,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101100729,1011007,1,1,101,444.29001,7,5,3,46,1,1,2,1,1,8,3,3,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101100823,1011008,1,1,101,466.17621,11,6,2,65,1,1,3,1,1,14,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101100830,1011008,1,1,101,466.17621,10,4,3,47,5,1,2,1,1,1,,,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101025,1011010,1,1,101,242.0466,5,4,2,50,1,1,2,2,1,3,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101026,1011010,1,1,101,242.0466,2,1,0,62,1,3,4,2,1,3,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0
101101029,1011010,1,1,101,242.0466,3,1,0,64,1,1,3,2,1,1,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,12,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101105,1011011,1,1,101,265.87741,5,3,3,30,1,1,1,1,1,1,,,5,1,1,12000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101107,1011011,1,1,101,265.87741,3,2,0,73,1,1,1,1,1,1,,,4,1,1,60000,0,0,0,0,0,20000,0,0,1,0,1,1,1,1,0,8,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101120,1011011,1,1,101,265.87741,6,3,0,63,1,1,6,1,1,1,,,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
101101128,1011011,1,1,101,265.87741,5,3,3,54,1,1,3,1,1,1,,,5,1,1,60000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101211,1011012,1,1,101,263.79721,4,2,0,60,1,1,1,1,1,1,,,5,1,1,100000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101217,1011012,1,1,101,263.79721,5,2,1,61,2,1,2,1,1,1,,,5,1,1,60000,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,8,4,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101226,1011012,1,1,101,263.79721,4,3,1,46,2,1,2,1,1,13,1,1,5,1,1,20000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101227,1011012,1,1,101,263.79721,3,3,1,38,1,1,2,1,1,1,,,5,1,1,65000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101307,1011013,1,1,101,239.5094,7,3,3,50,1,1,2,1,1,3,,,5,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,8,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
101101315,1011013,1,1,101,239.5094,6,3,3,36,2,1,3,1,1,1,,,5,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101316,1011013,1,1,101,239.5094,3,1,1,54,1,1,3,1,1,1,,,5,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
101101408,1011014,1,1,101,243.1144,4,4,0,49,1,2,3,1,1,1,,,5,1,1,0,0,300000,1,0,0,0,0,1,1,1,0,0,0,,0,7,,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101411,1011014,1,1,101,243.1144,3,1,0,55,1,1,4,1,1,1,,,5,1,1,0,0,215000,1,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0
101101412,1011014,1,1,101,243.1144,3,2,0,99,1,1,7,1,1,1,,,5,1,1,350000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,12,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101430,1011014,1,1,101,243.1144,4,2,0,45,1,1,2,1,1,1,,,5,1,1,120000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101503,1011015,1,1,101,227.3262,3,2,1,44,1,1,1,1,1,14,2,3,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101509,1011015,1,1,101,227.3262,5,1,3,27,1,1,3,1,1,1,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101523,1011015,1,1,101,227.3262,7,4,5,45,1,1,5,1,1,1,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,5,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101603,1011016,1,1,101,221.407,5,3,0,53,1,1,3,1,1,1,,,5,1,1,60000,1,125000,1,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101101611,1011016,1,1,101,221.407,7,4,4,48,1,1,4,1,1,8,2,2,5,1,1,240000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101704,1011017,1,1,101,110.4378,1,0,0,45,1,1,2,1,1,1,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
